UniProtKB,SET1_DPY7.NES.GFP,SET2_DPY7.NES.GFP,SET3_DPY7.NES.GFP,SET1_DPY7.NLS.GFP,SET2_DPY7.NLS.GFP,SET3_DPY7.NLS.GFP,SET1_DPY7.NLS.NES,SET2_DPY7.NLS.NES,SET3_DPY7.NLS.NES,SET1_MYO2.NES.GFP,SET2_MYO2.NES.GFP,SET3_MYO2.NES.GFP,SET1_MYO2.NLS.GFP,SET2_MYO2.NLS.GFP,SET3_MYO2.NLS.GFP,SET1_MYO2.NLS.NES,SET2_MYO2.NLS.NES,SET3_MYO2.NLS.NES,SET1_MYO3.NES.GFP,SET2_MYO3.NES.GFP,SET3_MYO3.NES.GFP,SET1_MYO3.NLS.GFP,SET2_MYO3.NLS.GFP,SET3_MYO3.NLS.GFP,SET1_MYO3.NLS.NES,SET2_MYO3.NLS.NES,SET3_MYO3.NLS.NES,SET1_SPP5.NES.GFP,SET2_SPP5.NES.GFP,SET3_SPP5.NES.GFP,SET1_SPP5.NLS.GFP,SET2_SPP5.NLS.GFP,SET3_SPP5.NLS.GFP,SET1_SPP5.NLS.NES,SET2_SPP5.NLS.NES,SET3_SPP5.NLS.NES,Epidermis_cytoplasm,Epidermis_nucleus,Pharyngeal.muscle_cytoplasm,Pharyngeal.muscle_nucleus,Body.wall.muscle_cytoplasm,Body.wall.muscle_nucleus,Intestine_cytoplasm,Intestine_nucleus,Compartment.specific,Tissue.specific
Q19192,0,0,0,0,0,0,0,0,1.083978727,0,0,0,0,0,0,0,0,0,0,0,0,0.593256,0,0,0.425913234,0,0,-2.07193,0,0,0,0,0,0.081256163,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q21219,2.91107,2.69203,2.61954,0,0,0,-2.511530098,0.31833785,0.123394727,0.854869,0,0.61629,0,0.446244,0.0175674,-3.678610419,0,0.334904,1.75439,0,0.702744,0,1.08432,0.645576,-0.639573766,0.018697161,0.191388133,4.64235,4.07158,3.8578,0,0,1.00477,-1.338663837,-1.25123511,-1.519866549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Cytoplasm specific,NA
Q17758,0,4.8037,4.23856,0,0,0,0,-1.20628215,-1.203755273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cytoplasm specific,Epidermis specific
Q9N4N3,0.556871,1.5643,2.08902,0,0,0,-0.069180098,-1.94201215,-0.481165273,0,0,1.36888,1.92896,0,0.466957,0,0,-0.150627,0,0,0,0,0,0,0,0,0,3.27325,3.15045,1.50194,0,0,0,0.185176163,-0.77666511,-0.176196549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
H2L0E5,4.69084,4.00114,3.26052,1.6656,1.57872,1.55018,-1.094290098,-0.89398215,-1.003805273,2.03626,1.45688,0.807059,1.45385,0.264235,0.614401,0.252400581,0.21854895,-0.113957,2.22594,2.17235,0.534394,1.62837,1.33254,-0.218536,0.290836234,0.160319161,0.244762133,5.09612,4.28886,3.83895,0.874776,0.406549,0.844127,-1.045913837,-1.26940511,-1.445436549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Cytoplasm specific,NA
Q95Y67,1.12711,0,0,0,0,0,0.590279902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822116,0,0,0.667179234,0,0,3.56182,1.59309,3.79723,3.387,4.32296,4.74312,0.235066163,1.07298489,0.972831451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
O17772,4.3656,2.00603,2.35718,0,0,1.53741,0.335639902,-0.60556215,0.397530727,0,0,0.904458,0,0,0,0,0,0.570598,0,0,0,0,0,0,0,0,0,4.31496,3.20978,3.50431,0,0,0,-0.972283837,-0.45318511,-1.223926549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
O18000,3.70543,3.3526,2.5411,2.41723,1.59117,1.0151,0.036239902,-0.30113215,-0.054075273,1.1446,0.682714,0.529055,1.11526,-0.173594,0.222613,0.520447581,0.04223495,0.697185,0.680959,1.16445,0.368172,0.592854,0.950815,0.0928714,0.520841234,0.663327161,0.169168133,4.48668,4.57095,3.597,2.5406,2.27347,2.89793,-0.379773837,-0.31074511,-0.001916549,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
G5EEZ4,0,0,2.10379,4.64877,4.58736,0,2.556958902,2.52308785,2.841004727,0,0.701701,0,0,0,0,0,0.42384895,0,0,0,0,3.98928,2.51876,1.15186,1.627299234,1.480740161,1.549256133,4.11906,0,1.78441,4.28999,4.02562,2.83426,1.890393163,2.16316689,2.253583451,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Nucleus specific,NA
Q9BMU4,4.78247,3.54158,3.77339,0,2.81298,2.12933,-1.544330098,-0.89569215,-1.074475273,0.813374,2.1112,1.70702,0,0,-0.109425,-0.755950419,-0.68511005,-0.745757,2.64344,2.0089,1.39637,0,0,1.18736,-0.462213766,-0.221718839,-0.602060867,4.0329,3.53295,3.15788,0,0,1.0608,-1.127113837,-0.13359511,-0.745176549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Cytoplasm specific,NA
