uniprotswissprot	uniprotsptrembl	wormbase_gene
	G5EDP9	WBGene00000001
	Q19834	WBGene00000002
	Q19151	WBGene00000003
	O17395	WBGene00000004
	A0A0K3AVL7	WBGene00000004
	Q7YXH5	WBGene00000005
	H2KZG9	WBGene00000006
	Q22397	WBGene00000007
	B2D6M4	WBGene00000007
	O44832	WBGene00000008
	Q94197	WBGene00000009
	Q9NA91	WBGene00000010
	Q56VY0	WBGene00000010
G5EGC4		WBGene00000012
G5EC68		WBGene00000013
	O45563	WBGene00000014
	Q9XX40	WBGene00000015
	G5EFQ2	WBGene00000016
	G5EBS3	WBGene00000017
P03949		WBGene00000018
	S6EZS3	WBGene00000019
	S6FN28	WBGene00000019
	Q1RS86	WBGene00000020
	X5LXB2	WBGene00000020
	Q9TXV8	WBGene00000022
	Q9XW49	WBGene00000023
	Q17400	WBGene00000024
	Q19594	WBGene00000025
	Q86S74	WBGene00000027
	Q9NF70	WBGene00000028
	O16501	WBGene00000029
	O16502	WBGene00000030
	O16511	WBGene00000031
	G5EGB7	WBGene00000032
	Q20002	WBGene00000033
	P91419	WBGene00000034
P38433		WBGene00000035
	G5EDV9	WBGene00000036
	Q9U295	WBGene00000037
	G5EDN1	WBGene00000038
Q18581		WBGene00000039
Q23500		WBGene00000040
P34455		WBGene00000041
P48182		WBGene00000042
Q93149		WBGene00000043
P54246		WBGene00000044
	Q9N4M3	WBGene00000045
P45963		WBGene00000046
	Q23355	WBGene00000047
	Q18556	WBGene00000048
	Q21645	WBGene00000049
	P91197	WBGene00000050
	G5EDF1	WBGene00000051
	A0A0K3ATC5	WBGene00000051
	Q22224	WBGene00000053
	O16926	WBGene00000054
P48180		WBGene00000055
	Q6F6K3	WBGene00000056
	A0A0M7RFG1	WBGene00000056
	A0A0M7RDU0	WBGene00000056
	A0A0M7REC3	WBGene00000056
	G5EG72	WBGene00000057
	G5EGB5	WBGene00000058
	B3WFZ2	WBGene00000058
	Q9U398	WBGene00000059
	Q7JKI4	WBGene00000059
	B1Q281	WBGene00000059
		WBGene00000060
	G5EGR1	WBGene00000061
G5EG88		WBGene00000062
	A0A168H5T6	WBGene00000062
P0DM41		WBGene00000063
P10984		WBGene00000064
P0DM42		WBGene00000065
P10986		WBGene00000066
	Q95ZL1	WBGene00000066
	Q6A8K1	WBGene00000066
	O45815	WBGene00000067
	Q19523	WBGene00000068
	O16880	WBGene00000069
	G5EE33	WBGene00000070
	Q966F9	WBGene00000071
Q9U9K0		WBGene00000072
	G8JYB0	WBGene00000072
Q20952		WBGene00000073
	Q1ZXU2	WBGene00000073
	G5EDW5	WBGene00000074
	A0A3B1E9Z5	WBGene00000074
Q94316		WBGene00000075
Q9U3D6		WBGene00000079
Q22618		WBGene00000080
O45218		WBGene00000081
G5ECS8		WBGene00000082
Q19204		WBGene00000083
	Q7Z292	WBGene00000083
	Q7Z291	WBGene00000083
G5EEU3		WBGene00000084
	G5ECE1	WBGene00000084
G5ECD9		WBGene00000085
O02626		WBGene00000086
P91863		WBGene00000088
	G5EBS5	WBGene00000089
Q94125		WBGene00000090
	A0A0K3ARF0	WBGene00000090
	Q19955	WBGene00000092
	A0A131MD77	WBGene00000092
	A0A131MBW5	WBGene00000092
	A0A131MBC1	WBGene00000092
	A0A131MBA1	WBGene00000092
	Q9U1Y0	WBGene00000093
	Q2HQK2	WBGene00000093
	Q19263	WBGene00000094
O02219		WBGene00000095
O44712		WBGene00000096
	Q9XUW8	WBGene00000097
	G5EDL3	WBGene00000098
O01427		WBGene00000099
A0A1C3NSL9		WBGene00000100
	H2KYC5	WBGene00000100
	Q95ZY7	WBGene00000100
	Q18930	WBGene00000101
	H2KZI9	WBGene00000101
	Q8MQ92	WBGene00000101
Q17941		WBGene00000102
Q9XTG7		WBGene00000103
	G5EGR6	WBGene00000105
	G5EES3	WBGene00000105
	O16720	WBGene00000106
	Q86B39	WBGene00000106
	Q20780	WBGene00000107
	Q8IG19	WBGene00000107
	Q9TXM0	WBGene00000108
	G5ECV9	WBGene00000109
	O16518	WBGene00000110
	Q8MXJ7	WBGene00000110
	Q86S57	WBGene00000110
	O44555	WBGene00000111
	G5EC31	WBGene00000112
	Q86N72	WBGene00000112
	Q6A593	WBGene00000112
	G4RZC3	WBGene00000112
	O02266	WBGene00000113
	G3MU66	WBGene00000113
P52713		WBGene00000114
	Q7JMI1	WBGene00000114
P46562		WBGene00000115
	Q18822	WBGene00000116
	Q20352	WBGene00000117
	Q8MNS6	WBGene00000117
	Q7Z1Q3	WBGene00000118
	Q7Z1Q2	WBGene00000118
	Q17561	WBGene00000120
	O62183	WBGene00000121
	Q21559	WBGene00000122
P16356		WBGene00000123
P54145		WBGene00000133
Q20605		WBGene00000134
Q21565		WBGene00000135
	Q17663	WBGene00000136
Q21988		WBGene00000137
	Q9XXU5	WBGene00000138
	E0AHD3	WBGene00000139
	E0AHD4	WBGene00000139
Q9N4M4		WBGene00000140
	A0A2C9C2Z1	WBGene00000140
	A0A2C9C3A7	WBGene00000140
Q17820		WBGene00000142
P34514		WBGene00000143
H2L2B8		WBGene00000144
Q20052		WBGene00000145
Q9XVN3		WBGene00000146
	E0AHC9	WBGene00000146
	E0AHD0	WBGene00000146
	E0AHD1	WBGene00000146
O45876		WBGene00000147
	A5Z2T7	WBGene00000148
Q23316		WBGene00000148
Q10651		WBGene00000149
	O01755	WBGene00000150
Q10002		WBGene00000151
O44750		WBGene00000155
Q21227		WBGene00000156
	A0A1I6CM53	WBGene00000156
	Q19123	WBGene00000157
	Q8WQB3	WBGene00000158
	O16369	WBGene00000159
	Q9N4F3	WBGene00000160
	Q7YZG9	WBGene00000160
	Q7YZG8	WBGene00000160
	Q22601	WBGene00000161
	O16637	WBGene00000162
	Q95X88	WBGene00000162
	O45718	WBGene00000163
	O62348	WBGene00000163
	Q20736	WBGene00000164
	Q8T874	WBGene00000165
	Q23165	WBGene00000166
P41990		WBGene00000168
	A0A0S4XRY4	WBGene00000168
	Q19949	WBGene00000169
	Q8IG23	WBGene00000169
	Q17571	WBGene00000170
	Q7JMQ6	WBGene00000170
	Q9XW36	WBGene00000171
	A0A061ADS9	WBGene00000171
	A0A131MBS2	WBGene00000171
	G5EEK0	WBGene00000172
	Q18469	WBGene00000173
	Q18352	WBGene00000174
	D5MCS1	WBGene00000174
	H2FLH4	WBGene00000174
	Q21473	WBGene00000175
	Q7Z138	WBGene00000176
	Q7Z137	WBGene00000176
	A0A2K5AU20	WBGene00000176
	A0A2K5AU16	WBGene00000176
	Q7JL16	WBGene00000177
	E5QCH4	WBGene00000177
Q09369		WBGene00000178
	O46024	WBGene00000179
Q09654		WBGene00000180
	Q19102	WBGene00000181
	A0A061AD09	WBGene00000181
Q10943		WBGene00000182
	G5EFK4	WBGene00000183
	Q9U2S4	WBGene00000184
	H2KYS0	WBGene00000185
	Q7JNV6	WBGene00000185
G5EBZ8		WBGene00000186
Q20758		WBGene00000187
O45379		WBGene00000188
P34212		WBGene00000189
Q94231		WBGene00000190
	G5EDC6	WBGene00000192
Q18510		WBGene00000193
P51485		WBGene00000195
Q23122		WBGene00000196
O01541		WBGene00000197
Q9N5Y2		WBGene00000198
Q9N4I0		WBGene00000199
P53489		WBGene00000200
	Q9U1R7	WBGene00000201
		WBGene00000201
	Q9N4P9	WBGene00000202
Q9XWV3		WBGene00000203
P58798		WBGene00000204
	O61861	WBGene00000205
	Q20053	WBGene00000206
	Q19126	WBGene00000207
	G5EDK1	WBGene00000208
P90921		WBGene00000209
Q18803		WBGene00000210
Q10916		WBGene00000211
Q23498		WBGene00000212
Q9UAY4		WBGene00000213
	G8JY85	WBGene00000213
	G5EEI4	WBGene00000214
	Q86NE0	WBGene00000215
P55956		WBGene00000216
	Q21966	WBGene00000217
	O01532	WBGene00000218
O01530		WBGene00000219
	Q21361	WBGene00000220
	Q22156	WBGene00000221
	Q20435	WBGene00000222
	Q9U3R1	WBGene00000223
	Q17801	WBGene00000223
	Q86MD3	WBGene00000223
	B3GWA6	WBGene00000223
	Q9XVU3	WBGene00000224
	A5Z2U2	WBGene00000224
	O45298	WBGene00000225
	G1K108	WBGene00000225
	G1K110	WBGene00000225
Q22258		WBGene00000226
	E5QCG9	WBGene00000226
Q9N3Q4		WBGene00000227
	Q23158	WBGene00000228
	Q9XVU8	WBGene00000228
	H2L2C9	WBGene00000228
	H2L2C8	WBGene00000228
P46561		WBGene00000229
	P91283	WBGene00000230
	Q7JNG1	WBGene00000230
G5ED29		WBGene00000231
	D4PH96	WBGene00000231
	Q95Q96	WBGene00000232
	Q95Q97	WBGene00000232
	Q8IFY7	WBGene00000232
	G5ECH3	WBGene00000233
	Q95PJ6	WBGene00000233
	D7SFP2	WBGene00000233
Q03565		WBGene00000235
O44739		WBGene00000236
	G5ECL4	WBGene00000237
Q18825		WBGene00000238
	H2KYG4	WBGene00000239
	O45137	WBGene00000239
P90925		WBGene00000240
Q9NEZ7		WBGene00000241
Q19640		WBGene00000242
Q23049		WBGene00000244
Q22460		WBGene00000245
	Q21593	WBGene00000246
Q22592		WBGene00000247
	Q18817	WBGene00000248
G5EFA2		WBGene00000249
G5ECJ5		WBGene00000250
Q09457		WBGene00000251
	O01904	WBGene00000252
O61213		WBGene00000253
P51559		WBGene00000254
O62247		WBGene00000255
	Q8MXR1	WBGene00000256
	G5EGL7	WBGene00000257
	G5ECF4	WBGene00000257
